TRUPE BR — RESUMO FINANCEIRO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
RECEITA TOTAL,1860.0,← Glória 26/04: R$ 930,RECEITA POR CANAL,VALOR
,,,Feira Glória,930
CUSTO TOTAL,456.0,,Feira Lavradio,0
,,,Online,0
LUCRO LÍQUIDO,1404.0,,,
,,,RECEITA POR PRODUTO,VALOR
MARGEM LÍQUIDA,0.754838709677419,,Top,425
,,,Biquíni (sutiã),325
TICKET MÉDIO,124.0,,Turbante,0
,,,Faixa Triangular,105
TOTAL DE PEÇAS VENDIDAS,15.0,,Faixa de Amarrar,35
,,,Faixa Larga,0
,,,Touca,0
,,,Boné,40
,,,Bolsa,0
,,,Saia,0
,,,Poncho,0
,,,Saia Macramê,0
,,,Macramê (outros),0
