TRUPE BR — CADASTRO DE PRODUTOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Azul = entrada manual  |  Preto = calculado  |  Amarelo = observação importante,,,,,,,,,
Produto,Categoria,Preço Venda (R$),Material Principal,Custo Fio/Cordão (R$),Custo Embalagem (R$),Outros Custos (R$),Custo Total (R$),Margem (%),Observações
Top,Roupas,85,,18,3,2,23,0.729411764705882,
Biquíni (sutiã),Praia,65,,12,2,1.5,15.5,0.761538461538462,
Turbante,Acessórios,45,,8,1,0.5,9.5,0.788888888888889,
Faixa Triangular,Acessórios,35,,5,1,0.5,6.5,0.814285714285714,
Faixa de Amarrar,Acessórios,35,,5,1,0.5,6.5,0.814285714285714,
Faixa Larga,Acessórios,45,,8,1,0.5,9.5,0.788888888888889,
Touca,Acessórios,55,,10,2,1,13,0.763636363636364,
Boné,Acessórios,40,,8,1,0.5,9.5,0.7625,
Bolsa,Acessórios,80,,20,3,2,25,0.6875,
Saia,Roupas,90,,22,3,2,27,0.7,
Poncho,Roupas,150,,30,3,2,35,0.766666666666667,
Saia Macramê,Roupas,200,,0,3,2,5,0.975,⚠️ Custo do cordão calculado separado — material diferente do fio de cone
Macramê (outros),Decoração,60,,0,2,1,3,0.95,⚠️ Custo do cordão calculado separado — material diferente do fio de cone
