TRUPE BR — REGISTRO DE VENDAS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Canal: Feira Glória / Feira Lavradio / Online  |  Pgto: Pix / Crédito / Débito / Dinheiro,,,,,,,,,
Data,Canal,Produto,Qtd,Preço Unit (R$),Forma Pgto,Receita (R$),Custo Unit (R$),Custo Total (R$),Lucro (R$)
26/04/2025,Feira Glória,Biquíni (sutiã),1,65,Crédito,65,15.5,15.5,49.5
26/04/2025,Feira Glória,Biquíni (sutiã),2,65,Crédito,130,15.5,31,99
26/04/2025,Feira Glória,Faixa Triangular,2,35,Crédito,70,6.5,13,57
26/04/2025,Feira Glória,Top,1,85,Crédito,85,23,23,62
26/04/2025,Feira Glória,Boné,1,40,Pix,40,9.5,9.5,30.5
26/04/2025,Feira Glória,Top,1,85,Pix,85,23,23,62
26/04/2025,Feira Glória,Faixa Triangular,1,35,Débito,35,6.5,6.5,28.5
26/04/2025,Feira Glória,Biquíni (sutiã),1,65,Débito,65,15.5,15.5,49.5
26/04/2025,Feira Glória,Top,1,85,Crédito,85,23,23,62
26/04/2025,Feira Glória,Top,1,85,Crédito,85,23,23,62
26/04/2025,Feira Glória,Faixa de Amarrar,1,35,Crédito,35,6.5,6.5,28.5
26/04/2025,Feira Glória,Top,1,85,Crédito,85,23,23,62
26/04/2025,Feira Glória,Biquíni (sutiã),1,65,Crédito,65,15.5,15.5,49.5
TOTAL,,,,,,930,,228,702
